[0.535s] Invoking command in '/root/ws/ROS2Package/build/turtlebot3_description': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --build /root/ws/ROS2Package/build/turtlebot3_description -- -j8 -l8
[0.882s] Invoked command in '/root/ws/ROS2Package/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --build /root/ws/ROS2Package/build/turtlebot3_description -- -j8 -l8
[0.931s] Invoking command in '/root/ws/ROS2Package/build/turtlebot3_description': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --install /root/ws/ROS2Package/build/turtlebot3_description
[0.947s] -- Install configuration: ""
[0.952s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_3.asset
[0.952s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_3.asset.meta
[0.952s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_4.asset
[0.952s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/burger_base_4.asset.meta
[0.952s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base.prefab
[0.952s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base.prefab.meta
[0.953s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base.stl
[0.953s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base.stl.meta
[0.953s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_0.asset
[0.953s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_0.asset.meta
[0.953s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_1.asset
[0.953s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_1.asset.meta
[0.954s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_10.asset
[0.954s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_10.asset.meta
[0.954s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_11.asset
[0.954s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_11.asset.meta
[0.954s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_12.asset
[0.955s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_12.asset.meta
[0.955s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_13.asset
[0.956s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_13.asset.meta
[0.956s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_14.asset
[0.956s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_14.asset.meta
[0.956s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_2.asset
[0.956s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_2.asset.meta
[0.956s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_3.asset
[0.956s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_3.asset.meta
[0.957s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_4.asset
[0.957s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_4.asset.meta
[0.957s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_5.asset
[0.957s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_5.asset.meta
[0.957s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_6.asset
[0.958s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_6.asset.meta
[0.958s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_7.asset
[0.958s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_7.asset.meta
[0.958s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_8.asset
[0.959s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_8.asset.meta
[0.959s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_9.asset
[0.959s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_base_9.asset.meta
[0.961s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base.prefab
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base.prefab.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base.stl
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base.stl.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_0.asset
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_0.asset.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_1.asset
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_1.asset.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_2.asset
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_2.asset.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_3.asset
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_3.asset.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_4.asset
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_4.asset.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_5.asset
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_5.asset.meta
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_6.asset
[0.965s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_6.asset.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_7.asset
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/bases/waffle_pi_base_7.asset.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.dae
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.dae.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.jpg
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/astra.jpg.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds.prefab
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds.prefab.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds.stl
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds.stl.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds_0.asset
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/lds_0.asset.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.dae
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.dae.meta
[0.966s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.jpg
[0.967s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/sensors/r200.jpg.meta
[0.967s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire.prefab
[0.967s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire.prefab.meta
[0.967s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire.stl
[0.967s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire.stl.meta
[0.968s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire_0.asset
[0.968s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/left_tire_0.asset.meta
[0.968s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.prefab
[0.968s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.prefab.meta
[0.968s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.stl
[0.968s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire.stl.meta
[0.969s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire_0.asset
[0.969s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/meshes/wheels/right_tire_0.asset.meta
[0.969s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/urdf/common_properties.urdf
[0.969s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/urdf/turtlebot3_burger.urdf
[0.970s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/ament_index/resource_index/package_run_dependencies/turtlebot3_description
[0.970s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/ament_index/resource_index/parent_prefix_path/turtlebot3_description
[0.970s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.sh
[0.971s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/environment/ament_prefix_path.dsv
[0.971s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/environment/path.sh
[0.971s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/environment/path.dsv
[0.972s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/local_setup.bash
[0.972s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/local_setup.sh
[0.973s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/local_setup.zsh
[0.973s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/local_setup.dsv
[0.973s] -- Symlinking: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/package.dsv
[0.987s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/ament_index/resource_index/packages/turtlebot3_description
[0.987s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/cmake/ament_cmake_export_dependencies-extras.cmake
[0.987s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig.cmake
[0.987s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/cmake/turtlebot3_descriptionConfig-version.cmake
[0.987s] -- Up-to-date symlink: /root/ws/ROS2Package/install/turtlebot3_description/share/turtlebot3_description/package.xml
[0.992s] Invoked command in '/root/ws/ROS2Package/build/turtlebot3_description' returned '0': CMAKE_PREFIX_PATH=/opt/ros/foxy /usr/bin/cmake --install /root/ws/ROS2Package/build/turtlebot3_description
